School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
Sacred Heart College - Marcellin Campus,SA,Catholic,Combined,Major Cities,-34.996682,138.521367
Kinma School,NSW,Independent,Primary,Major Cities,-33.686607,151.216969
Knox Grammar School,NSW,Independent,Combined,Major Cities,-33.723114,151.119418
Moriah College,NSW,Independent,Combined,Major Cities,-33.899355,151.244827
St Francis Xavier's College,NSW,Catholic,Secondary,Major Cities,-32.927166,151.753714
Holy Spirit Infants School,NSW,Catholic,Primary,Major Cities,-32.81091,151.443237
St Joseph's Catholic Primary School Como - Oyster Bay,NSW,Catholic,Primary,Major Cities,-34.00948387,151.0727851
St Therese's Community Parish School,NSW,Catholic,Primary,Very Remote,-31.559128,143.379376
Highfields Preparatory and Kindergarten School,NSW,Independent,Primary,Major Cities,-33.774982,151.163657
Odyssey College,NSW,Independent,Secondary,Major Cities,-34.034379,150.813818
Coffs Harbour Christian Community School,NSW,Independent,Combined,Inner Regional,-30.378228,153.057112
Learning Co-Operative School,VIC,Independent,Primary,Major Cities,-37.62939233,145.2133347
Mt Maria College,QLD,Catholic,Secondary,Major Cities,-27.412361,152.979765
Andale School,VIC,Independent,Combined,Major Cities,-37.805513,145.036044
The Currajong School,VIC,Independent,Combined,Major Cities,-37.875953,145.059946
Mansfield Autism Statewide Services,VIC,Independent,Combined,Outer Regional,-37.060799,146.085858
Rossbourne School,VIC,Independent,Secondary,Major Cities,-37.82304,145.02655
St Paul's College,VIC,Independent,Combined,Major Cities,-37.812213,145.086665
Autism Queensland Education & Therapy Centre,QLD,Independent,Combined,Major Cities,-27.597672,153.043054
Catholic Regional College Sydenham,VIC,Catholic,Secondary,Major Cities,-37.699136,144.771012
Tangara School for Girls,NSW,Independent,Combined,Major Cities,-33.7363676,151.0360805
Heritage Christian School,NSW,Independent,Combined,Inner Regional,-31.429904,152.880468
"St Spyridon College, Junior School Campus",NSW,Independent,Primary,Major Cities,-33.925448,151.224481
Catherine McAuley College,VIC,Catholic,Secondary,Inner Regional,-36.753444,144.273362
Northern Adelaide Senior College,SA,Government,Secondary,Major Cities,-34.71345547,138.6710182
Marden Senior College,SA,Government,Secondary,Major Cities,-34.891954,138.63523
Central Yorke School - Point Pearce Campus,SA,Government,Combined,Outer Regional,-34.427855,137.504945
Williamstown High School,VIC,Government,Secondary,Major Cities,-37.862753,144.895131
Wodonga Senior Secondary College,VIC,Government,Secondary,Inner Regional,-36.12745035,146.8802276
Swinburne Senior Secondary College,VIC,Government,Secondary,Major Cities,-37.823135,145.040821
Essendon Keilor College-Senior Campus,VIC,Government,Secondary,Major Cities,-37.755219,144.901945
Echuca College,VIC,Government,Secondary,Inner Regional,-36.132394,144.732423
Chifley College Senior Campus,NSW,Government,Secondary,Major Cities,-33.769305,150.829855
Moree Secondary College,NSW,Government,Secondary,Outer Regional,-29.48198938,149.8398544
