OBJECT ID,STATE POLYGON (PID),STATE (PID),STATE NAME,STATE ABBREVIATION,DATE CREATED,DATE RETIRED,GLOBAL ID,Shape__Area,Shape__Length
17351,6597,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,d9f7499d-6d09-41c8-bf4d-305373b1d005,5.23757080372889E-07,0.00312612455621284
17352,6598,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,a91ee46e-024f-4e9d-96b8-3509452dadaf,5.23328253621003E-07,0.00285538671644791
17353,6428,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,3f39192e-0741-4a55-8345-01af6aa96257,2.58987256529508E-07,0.00249569139691218
17354,6429,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,7d24fd52-8fb7-4442-97ab-82a2ad33f96f,2.57027295447187E-07,0.00201945786355448
17355,6430,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,f1f8734e-e75e-4d15-83ad-347609efd077,2.56991825153818E-07,0.00257532204187381
17356,6431,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,46fc17f8-1e8e-42a9-88bd-afe039ec31ca,2.56945895671379E-07,0.00291572586069441
17357,7427,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,dbc9a165-3916-4e10-b4e4-d3ded7185988,1.2505688573583E-07,0.00231200873828427
17358,7428,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,85ed1a96-6bac-4c23-ae4f-b6e7f24363f5,1.24648977362085E-07,0.00135923716825735
17359,7429,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,5dc2c9db-4910-484e-89e4-1908e9b1dd55,1.24565758596873E-07,0.00143767948957745
17360,7430,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,228b42e4-866d-47c8-8d73-6232809fa935,1.24552570923697E-07,0.0016310422196339
